probe: using server at http://127.0.0.1:8794 (spawned)
PASS  inventory loads (67 apertures)
PASS  aperture ids unique
PASS  every aperture has a POI
PASS  traversable doors to walk (18)
  [trace] d=22m dLast=22m yaw=-122.54 err=0.06 gain=60.0 shuffles=2
  [trace] d=22m dLast=22m yaw=-122.52 err=0.04 gain=60.0 shuffles=2
  [trace] d=22m dLast=22m yaw=-122.57 err=-0.02 gain=60.0 shuffles=3
  [trace] d=22m dLast=22m yaw=-122.58 err=-0.00 gain=60.0 shuffles=3
  [trace] d=22m dLast=22m yaw=-122.52 err=0.07 gain=60.0 shuffles=4
  [trace] d=22m dLast=22m yaw=-122.49 err=0.04 gain=60.0 shuffles=4
  [trace] d=22m dLast=22m yaw=-122.56 err=-0.01 gain=60.0 shuffles=5
  [trace] d=22m dLast=22m yaw=-122.49 err=0.03 gain=60.0 shuffles=6
  [trace] d=22m dLast=22m yaw=-122.56 err=-0.03 gain=60.0 shuffles=7
  [trace] d=22m dLast=22m yaw=-122.56 err=-0.01 gain=60.0 shuffles=7
  [trace] d=22m dLast=22m yaw=-122.52 err=0.07 gain=60.0 shuffles=8
  [trace] d=22m dLast=22m yaw=-122.50 err=0.05 gain=60.0 shuffles=8
  [trace] d=22m dLast=22m yaw=-122.48 err=0.01 gain=60.0 shuffles=8
  [trace] d=22m dLast=22m yaw=-122.48 err=0.01 gain=60.0 shuffles=10
  [trace] d=22m dLast=22m yaw=-122.57 err=-0.01 gain=60.0 shuffles=11
  [trace] d=23m dLast=22m yaw=-122.55 err=0.10 gain=60.0 shuffles=12
  [trace] d=22m dLast=22m yaw=-122.52 err=0.07 gain=60.0 shuffles=12
  [trace] d=22m dLast=22m yaw=-122.56 err=-0.02 gain=60.0 shuffles=13
  [trace] d=22m dLast=22m yaw=-122.52 err=0.07 gain=60.0 shuffles=14
staged retry barn.front.barn.0
FAIL  walk through barn.front.barn.0 — steering to barn.front.barn.0 exterior timed out
  [trace] d=25m dLast=25m yaw=-121.74 err=0.01 gain=60.0 shuffles=0
  [trace] d=25m dLast=25m yaw=-121.74 err=0.01 gain=60.0 shuffles=0
  [trace] d=25m dLast=25m yaw=-121.74 err=0.01 gain=60.0 shuffles=1
